지역,휘발유,경유,LPG
서울,1780,1910,1107
경기,1716,1847,1051
인천,1688,1837,1050
충남,1722,1848,1058
세종,1725,1854,1052
충북,1723,1846,1058
강원,1729,1861,1087
대전,1692,1836,1040
전북,1706,1833,1028
경북,1697,1820,1036
대구,1657,1797,1077
광주,1685,1819,1006
전남,1727,1850,1043
제주,1750,1936,1080
울산,1687,1806,1058
경남,1705,1827,1027
부산,1690,1811,1044
